PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
BG01;COALITION;5;;CONSTITUTIVE;2024-07-16 12:32
BG11;PARTY;4;EPP;CONSTITUTIVE;2024-07-16 12:32
BG12;PARTY;1;EPP;CONSTITUTIVE;2024-07-16 12:32
BG02;PARTY;2;SD;CONSTITUTIVE;2024-07-16 12:32
BG03;PARTY;3;Renew;CONSTITUTIVE;2024-07-16 12:32
BG04;COALITION;3;;CONSTITUTIVE;2024-07-16 12:32
BG14;PARTY;1;EPP;CONSTITUTIVE;2024-07-16 12:32
BG13;PARTY;2;Renew;CONSTITUTIVE;2024-07-16 12:32
BG05;PARTY;3;ESN;CONSTITUTIVE;2024-07-16 12:32
BG06;PARTY;1;ECR;CONSTITUTIVE;2024-07-16 12:32
