PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
CZ01;PARTY;7;PfE;CONSTITUTIVE;2024-07-23 11:07
CZ02;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
CZ03;COALITION;2;;CONSTITUTIVE;2024-07-23 11:07
CZ21;PARTY;2;EPP;CONSTITUTIVE;2024-07-23 11:07
CZ04;COALITION;2;;CONSTITUTIVE;2024-07-23 11:07
CZ20;PARTY;1;NI;CONSTITUTIVE;2024-07-23 11:07
CZ19;PARTY;1;NI;CONSTITUTIVE;2024-07-23 11:07
CZ07;COALITION;6;;CONSTITUTIVE;2024-07-23 11:07
CZ14;PARTY;2;EPP;CONSTITUTIVE;2024-07-23 11:07
CZ16;PARTY;1;EPP;CONSTITUTIVE;2024-07-23 11:07
CZ15;PARTY;3;ECR;CONSTITUTIVE;2024-07-23 11:07
CZ09;COALITION;2;;CONSTITUTIVE;2024-07-23 11:07
CZ17;PARTY;1;PfE;CONSTITUTIVE;2024-07-23 11:07
CZ18;PARTY;1;PfE;CONSTITUTIVE;2024-07-23 11:07
CZ10;COALITION;1;;CONSTITUTIVE;2024-07-23 11:07
CZ22;PARTY;1;ESN;CONSTITUTIVE;2024-07-23 11:07
