PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
DK01;PARTY;2;Renew;CONSTITUTIVE;2024-07-23 11:07
DK02;PARTY;3;SD;CONSTITUTIVE;2024-07-23 11:07
DK03;PARTY;3;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
DK04;PARTY;1;PfE;CONSTITUTIVE;2024-07-23 11:07
DK05;PARTY;1;Renew;CONSTITUTIVE;2024-07-23 11:07
DK06;PARTY;1;EPP;CONSTITUTIVE;2024-07-23 11:07
DK07;PARTY;1;Theleft;CONSTITUTIVE;2024-07-23 11:07
DK09;PARTY;1;EPP;CONSTITUTIVE;2024-07-23 11:07
DK10;PARTY;1;Renew;CONSTITUTIVE;2024-07-23 11:07
DK11;PARTY;1;ECR;CONSTITUTIVE;2024-07-23 11:07
