PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
ES01;COALITION;20;;CONSTITUTIVE;2024-07-23 11:07
ES21;PARTY;19;SD;CONSTITUTIVE;2024-07-23 11:07
ES22;PARTY;1;SD;CONSTITUTIVE;2024-07-23 11:07
ES02;PARTY;22;EPP;CONSTITUTIVE;2024-07-23 11:07
ES03;COALITION;3;;CONSTITUTIVE;2024-07-23 11:07
ES19;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
ES20;PARTY;1;Theleft;CONSTITUTIVE;2024-07-23 11:07
ES20;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
ES04;PARTY;2;Theleft;CONSTITUTIVE;2024-07-23 11:07
ES05;PARTY;6;PfE;CONSTITUTIVE;2024-07-23 11:07
ES06;PARTY;1;NI;CONSTITUTIVE;2024-07-23 11:07
ES07;COALITION;3;;CONSTITUTIVE;2024-07-23 11:07
ES16;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
ES18;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
ES17;PARTY;1;Theleft;CONSTITUTIVE;2024-07-23 11:07
ES08;COALITION;1;;CONSTITUTIVE;2024-07-23 11:07
ES15;PARTY;1;Renew;CONSTITUTIVE;2024-07-23 11:07
ES11;PARTY;3;NI;CONSTITUTIVE;2024-07-23 11:07
