PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
FR01;PARTY;30;PfE;CONSTITUTIVE;2024-07-23 11:07
FR02;COALITION;13;;CONSTITUTIVE;2024-07-23 11:07
FR17;PARTY;2;Renew;CONSTITUTIVE;2024-07-23 11:07
FR19;PARTY;1;Renew;CONSTITUTIVE;2024-07-23 11:07
FR18;PARTY;4;Renew;CONSTITUTIVE;2024-07-23 11:07
FR20;PARTY;5;Renew;CONSTITUTIVE;2024-07-23 11:07
FR21;PARTY;1;Renew;CONSTITUTIVE;2024-07-23 11:07
FR03;PARTY;5;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
FR04;PARTY;6;EPP;CONSTITUTIVE;2024-07-23 11:07
FR05;PARTY;9;Theleft;CONSTITUTIVE;2024-07-23 11:07
FR06;COALITION;13;;CONSTITUTIVE;2024-07-23 11:07
FR24;PARTY;10;SD;CONSTITUTIVE;2024-07-23 11:07
FR23;PARTY;3;SD;CONSTITUTIVE;2024-07-23 11:07
FR08;COALITION;5;;CONSTITUTIVE;2024-07-23 11:07
FR15;PARTY;2;ECR;CONSTITUTIVE;2024-07-23 11:07
FR22;PARTY;1;ECR;CONSTITUTIVE;2024-07-23 11:07
FR14;PARTY;1;ECR;CONSTITUTIVE;2024-07-23 11:07
FR16;PARTY;1;ESN;CONSTITUTIVE;2024-07-23 11:07
