COUNTRY_ID;MEN;WOMEN;UPDATE_STATUS;UPDATE_TIME
BE;59.09;40.91;CONSTITUTIVE;2024-09-06 10:50
BG;76.47;23.53;CONSTITUTIVE;2024-09-06 10:50
CZ;61.9;38.1;CONSTITUTIVE;2024-09-06 10:50
DK;66.67;33.33;CONSTITUTIVE;2024-09-06 10:50
DE;62.5;36.46;CONSTITUTIVE;2024-09-06 10:50
EE;71.43;28.57;CONSTITUTIVE;2024-09-06 10:50
IE;57.14;42.86;CONSTITUTIVE;2024-09-06 10:50
EL;71.43;28.57;CONSTITUTIVE;2024-09-06 10:50
ES;50.0;50.0;CONSTITUTIVE;2024-07-17 09:36
FR;49.38;50.62;CONSTITUTIVE;2024-09-06 10:50
IT;67.11;32.89;CONSTITUTIVE;2024-09-06 10:50
CY;100.0;0.0;CONSTITUTIVE;2024-07-17 09:36
LV;77.78;22.22;CONSTITUTIVE;2024-09-06 10:50
LT;81.82;18.18;CONSTITUTIVE;2024-09-06 10:50
LU;66.67;33.33;CONSTITUTIVE;2024-09-06 10:50
HU;52.38;47.62;CONSTITUTIVE;2024-09-06 10:50
MT;83.33;16.67;CONSTITUTIVE;2024-09-06 10:50
NL;51.61;48.39;CONSTITUTIVE;2024-09-06 10:50
AT;60.0;40.0;CONSTITUTIVE;2024-07-17 09:36
PL;71.7;28.3;CONSTITUTIVE;2024-09-06 10:50
PT;61.9;38.1;CONSTITUTIVE;2024-09-06 10:50
RO;81.82;18.18;CONSTITUTIVE;2024-09-06 10:50
SI;66.67;33.33;CONSTITUTIVE;2024-09-06 10:50
SK;53.33;46.67;CONSTITUTIVE;2024-09-06 10:50
FI;40.0;60.0;CONSTITUTIVE;2024-07-17 09:36
SE;38.1;61.9;CONSTITUTIVE;2024-09-06 10:50
HR;58.33;41.67;CONSTITUTIVE;2024-09-06 10:50
