PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
IT01;PARTY;8;PfE;CONSTITUTIVE;2024-07-23 11:07
IT02;PARTY;21;SD;CONSTITUTIVE;2024-07-23 11:07
IT03;PARTY;8;Theleft;CONSTITUTIVE;2024-07-23 11:07
IT04;COALITION;8;;CONSTITUTIVE;2024-07-23 11:07
IT13;PARTY;8;EPP;CONSTITUTIVE;2024-07-23 11:07
IT05;PARTY;24;ECR;CONSTITUTIVE;2024-07-23 11:07
IT06;COALITION;6;;CONSTITUTIVE;2024-07-23 11:07
IT15;PARTY;2;Theleft;CONSTITUTIVE;2024-07-23 11:07
IT15;PARTY;2;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
IT14;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
IT16;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
IT08;PARTY;1;EPP;CONSTITUTIVE;2024-07-23 11:07
