PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
NL01;COALITION;8;;CONSTITUTIVE;2024-07-23 11:07
NL16;PARTY;4;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
NL15;PARTY;4;SD;CONSTITUTIVE;2024-07-23 11:07
NL02;PARTY;4;Renew;CONSTITUTIVE;2024-07-23 11:07
NL03;PARTY;3;EPP;CONSTITUTIVE;2024-07-23 11:07
NL05;PARTY;3;Renew;CONSTITUTIVE;2024-07-23 11:07
NL07;PARTY;1;ECR;CONSTITUTIVE;2024-07-23 11:07
NL08;PARTY;1;Theleft;CONSTITUTIVE;2024-07-23 11:07
NL09;PARTY;6;PfE;CONSTITUTIVE;2024-07-23 11:07
NL11;PARTY;2;GREENSEFA;CONSTITUTIVE;2024-07-23 11:07
NL13;PARTY;1;EPP;CONSTITUTIVE;2024-07-23 11:07
NL14;PARTY;2;EPP;CONSTITUTIVE;2024-07-23 11:07
