PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
PL01;COALITION;20;;CONSTITUTIVE;2024-07-16 13:26
PL11;PARTY;18;ECR;CONSTITUTIVE;2024-07-16 13:26
PL10;PARTY;2;ECR;CONSTITUTIVE;2024-07-16 13:26
PL02;COALITION;21;;CONSTITUTIVE;2024-07-16 13:26
PL08;PARTY;3;EPP;CONSTITUTIVE;2024-07-16 13:26
PL07;PARTY;1;EPP;CONSTITUTIVE;2024-07-16 13:26
PL09;PARTY;17;EPP;CONSTITUTIVE;2024-07-16 13:26
PL03;COALITION;3;;CONSTITUTIVE;2024-07-16 13:26
PL16;PARTY;3;SD;CONSTITUTIVE;2024-07-16 13:26
PL04;COALITION;6;;CONSTITUTIVE;2024-07-16 13:26
PL13;PARTY;2;NI;CONSTITUTIVE;2024-07-16 13:26
PL13;PARTY;3;ESN;CONSTITUTIVE;2024-07-16 13:26
PL12;PARTY;1;NI;CONSTITUTIVE;2024-07-16 13:26
PL05;COALITION;3;;CONSTITUTIVE;2024-07-16 13:26
PL14;PARTY;1;Renew;CONSTITUTIVE;2024-07-16 13:26
PL15;PARTY;2;EPP;CONSTITUTIVE;2024-07-16 13:26
