PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
PT01;PARTY;8;SD;CONSTITUTIVE;2024-07-23 11:07
PT02;COALITION;7;;CONSTITUTIVE;2024-07-23 11:07
PT11;PARTY;1;EPP;CONSTITUTIVE;2024-07-23 11:07
PT09;PARTY;1;EPP;CONSTITUTIVE;2024-07-23 11:07
PT10;PARTY;5;EPP;CONSTITUTIVE;2024-07-23 11:07
PT03;PARTY;1;Theleft;CONSTITUTIVE;2024-07-23 11:07
PT04;COALITION;1;;CONSTITUTIVE;2024-07-23 11:07
PT12;PARTY;1;Theleft;CONSTITUTIVE;2024-07-23 11:07
PT07;PARTY;2;Renew;CONSTITUTIVE;2024-07-23 11:07
PT08;PARTY;2;PfE;CONSTITUTIVE;2024-07-23 11:07
