PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
BE01;PARTY;13.97;OFFICIAL;2024-07-16 09:44
BE02;PARTY;14.5;OFFICIAL;2024-07-16 09:44
BE03;PARTY;5.76;OFFICIAL;2024-07-16 09:44
BE04;PARTY;8.34;OFFICIAL;2024-07-16 09:44
BE05;PARTY;6.32;OFFICIAL;2024-07-16 09:44
BE06;PARTY;7.99;OFFICIAL;2024-07-16 09:44
BE07;PARTY;5.13;OFFICIAL;2024-07-16 09:44
BE08;PARTY;7.43;OFFICIAL;2024-07-16 09:44
BE09;PARTY;3.64;OFFICIAL;2024-07-16 09:44
BE10;PARTY;12.62;OFFICIAL;2024-07-16 09:44
BE11;PARTY;5.17;OFFICIAL;2024-07-16 09:44
BE12;PARTY;1.05;OFFICIAL;2024-07-16 09:44
BE13;PARTY;5.57;OFFICIAL;2024-07-16 09:44
BE14;PARTY;0.21;OFFICIAL;2024-07-16 09:44
BE15;PARTY;0.07;OFFICIAL;2024-07-16 09:44
BE16;PARTY;0.08;OFFICIAL;2024-07-16 09:44
BE17;PARTY;0.1;OFFICIAL;2024-07-16 09:44
BE18;PARTY;0.07;OFFICIAL;2024-07-16 09:44
BE90;PARTY;1.2;OFFICIAL;2024-07-16 09:44
BE91;PARTY;0.71;OFFICIAL;2024-07-16 09:44
BE92;PARTY;0.07;OFFICIAL;2024-07-16 09:44
