PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
CZ01;PARTY;26.14;OFFICIAL;2024-07-16 12:32
CZ02;PARTY;6.2;OFFICIAL;2024-07-16 12:32
CZ03;COALITION;8.7;OFFICIAL;2024-07-16 12:32
CZ04;COALITION;9.56;OFFICIAL;2024-07-16 12:32
CZ05;PARTY;1.86;OFFICIAL;2024-07-16 12:32
CZ06;PARTY;1.76;OFFICIAL;2024-07-16 12:32
CZ07;COALITION;22.27;OFFICIAL;2024-07-16 12:32
CZ08;PARTY;1.55;OFFICIAL;2024-07-16 12:32
CZ09;COALITION;10.26;OFFICIAL;2024-07-16 12:32
CZ10;COALITION;5.73;OFFICIAL;2024-07-16 12:32
CZ11;PARTY;2.15;OFFICIAL;2024-07-16 12:32
CZ90;PARTY;3.82;OFFICIAL;2024-07-16 12:32
