PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
DK01;PARTY;14.72;OFFICIAL;2024-07-15 17:47
DK02;PARTY;15.57;OFFICIAL;2024-07-15 17:47
DK03;PARTY;17.42;OFFICIAL;2024-07-15 17:47
DK04;PARTY;6.37;OFFICIAL;2024-07-15 17:47
DK05;PARTY;7.08;OFFICIAL;2024-07-15 17:47
DK06;PARTY;8.84;OFFICIAL;2024-07-15 17:47
DK07;PARTY;7.04;OFFICIAL;2024-07-15 17:47
DK08;PARTY;2.66;OFFICIAL;2024-07-15 17:47
DK09;PARTY;6.95;OFFICIAL;2024-07-15 17:47
DK10;PARTY;5.95;OFFICIAL;2024-07-15 17:47
DK11;PARTY;7.39;OFFICIAL;2024-07-15 17:47
DK90;PARTY;0.0;OFFICIAL;2024-07-15 17:47
