PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
EL01;PARTY;28.31;OFFICIAL;2024-07-16 09:44
EL02;PARTY;14.92;OFFICIAL;2024-07-16 09:44
EL03;PARTY;12.79;OFFICIAL;2024-07-16 09:44
EL04;PARTY;9.25;OFFICIAL;2024-07-16 09:44
EL05;PARTY;9.3;OFFICIAL;2024-07-16 09:44
EL06;PARTY;2.54;OFFICIAL;2024-07-16 09:44
EL07;PARTY;3.4;OFFICIAL;2024-07-16 09:44
EL08;PARTY;4.37;OFFICIAL;2024-07-16 09:44
EL09;PARTY;2.45;OFFICIAL;2024-07-16 09:44
EL10;PARTY;1.45;OFFICIAL;2024-07-16 09:44
EL11;PARTY;3.04;OFFICIAL;2024-07-16 09:44
EL12;PARTY;1.08;OFFICIAL;2024-07-16 09:44
EL90;PARTY;7.1;OFFICIAL;2024-07-16 09:44
