PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
FR01;PARTY;31.37;OFFICIAL;2024-07-16 12:32
FR02;COALITION;14.6;OFFICIAL;2024-07-16 12:32
FR03;PARTY;5.5;OFFICIAL;2024-07-16 12:32
FR04;PARTY;7.25;OFFICIAL;2024-07-16 12:32
FR05;PARTY;9.89;OFFICIAL;2024-07-16 12:32
FR06;COALITION;13.83;OFFICIAL;2024-07-16 12:32
FR07;PARTY;2.36;OFFICIAL;2024-07-16 12:32
FR08;COALITION;5.47;OFFICIAL;2024-07-16 12:32
FR09;PARTY;2.35;OFFICIAL;2024-07-16 12:32
FR10;PARTY;2.0;OFFICIAL;2024-07-16 12:32
FR11;PARTY;1.02;OFFICIAL;2024-07-16 12:32
FR12;PARTY;0.93;OFFICIAL;2024-07-16 12:32
FR13;PARTY;0.15;OFFICIAL;2024-07-16 12:32
FR90;PARTY;3.28;OFFICIAL;2024-07-16 12:32
