PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
HU01;COALITION;44.82;FINAL;2024-07-16 13:26
HU02;PARTY;3.7;FINAL;2024-07-16 13:26
HU03;PARTY;0.99;FINAL;2024-07-16 13:26
HU04;PARTY;6.71;FINAL;2024-07-16 13:26
HU05;PARTY;3.59;FINAL;2024-07-16 13:26
HU06;PARTY;0.87;FINAL;2024-07-16 13:26
HU07;PARTY;0.64;FINAL;2024-07-16 13:26
HU08;PARTY;29.6;FINAL;2024-07-16 13:26
HU09;COALITION;8.03;FINAL;2024-07-16 13:26
HU10;PARTY;0.68;FINAL;2024-07-16 13:26
HU11;PARTY;0.37;FINAL;2024-07-16 13:26
HU90;PARTY;0.0;FINAL;2024-07-16 13:26
