PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
IE01;PARTY;20.79;FINAL;2024-07-16 12:32
IE02;PARTY;20.44;FINAL;2024-07-16 12:32
IE03;PARTY;13.97;FINAL;2024-07-16 12:32
IE04;PARTY;11.14;FINAL;2024-07-16 12:32
IE05;PARTY;5.36;FINAL;2024-07-16 12:32
IE06;PARTY;3.38;FINAL;2024-07-16 12:32
IE07;PARTY;1.82;FINAL;2024-07-16 12:32
IE08;PARTY;2.95;FINAL;2024-07-16 12:32
IE09;PARTY;3.76;FINAL;2024-07-16 12:32
IE12;PARTY;4.58;FINAL;2024-07-16 12:32
IE13;COALITION;6.23;FINAL;2024-07-16 12:32
IE90;PARTY;5.58;FINAL;2024-07-16 12:32
