PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
IT01;PARTY;8.97;FINAL;2024-07-16 12:32
IT02;PARTY;24.11;FINAL;2024-07-16 12:32
IT03;PARTY;9.98;FINAL;2024-07-16 12:32
IT04;COALITION;9.58;FINAL;2024-07-16 12:32
IT05;PARTY;28.75;FINAL;2024-07-16 12:32
IT06;COALITION;6.79;FINAL;2024-07-16 12:32
IT07;PARTY;3.36;FINAL;2024-07-16 12:32
IT08;PARTY;0.52;FINAL;2024-07-16 12:32
IT09;PARTY;0.15;FINAL;2024-07-16 12:32
IT10;PARTY;2.21;FINAL;2024-07-16 12:32
IT11;PARTY;3.78;FINAL;2024-07-16 12:32
IT12;PARTY;1.22;FINAL;2024-07-16 12:32
IT90;PARTY;0.58;FINAL;2024-07-16 12:32
