PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LT01;PARTY;21.33;OFFICIAL;2024-07-15 17:47
LT02;PARTY;17.98;OFFICIAL;2024-07-15 17:47
LT03;PARTY;9.13;OFFICIAL;2024-07-15 17:47
LT04;PARTY;1.66;OFFICIAL;2024-07-15 17:47
LT05;PARTY;5.41;OFFICIAL;2024-07-15 17:47
LT06;PARTY;5.78;OFFICIAL;2024-07-15 17:47
LT07;PARTY;8.09;OFFICIAL;2024-07-15 17:47
LT08;PARTY;5.25;OFFICIAL;2024-07-15 17:47
LT09;PARTY;5.95;OFFICIAL;2024-07-15 17:47
LT10;PARTY;3.79;OFFICIAL;2024-07-15 17:47
LT11;PARTY;1.25;OFFICIAL;2024-07-15 17:47
LT12;PARTY;5.45;OFFICIAL;2024-07-15 17:47
LT13;PARTY;4.05;OFFICIAL;2024-07-15 17:47
LT90;PARTY;4.88;OFFICIAL;2024-07-15 17:47
