PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LU01;PARTY;18.29;OFFICIAL;2024-07-16 09:44
LU02;PARTY;22.92;OFFICIAL;2024-07-16 09:44
LU03;PARTY;11.76;OFFICIAL;2024-07-16 09:44
LU04;PARTY;21.72;OFFICIAL;2024-07-16 09:44
LU05;PARTY;11.77;OFFICIAL;2024-07-16 09:44
LU06;PARTY;4.92;OFFICIAL;2024-07-16 09:44
LU07;PARTY;3.15;OFFICIAL;2024-07-16 09:44
LU08;PARTY;0.97;OFFICIAL;2024-07-16 09:44
LU09;PARTY;1.04;OFFICIAL;2024-07-16 09:44
LU10;PARTY;1.58;OFFICIAL;2024-07-16 09:44
LU11;PARTY;0.58;OFFICIAL;2024-07-16 09:44
LU90;PARTY;1.3;OFFICIAL;2024-07-16 09:44
