PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LV01;PARTY;25.09;OFFICIAL;2024-07-16 12:32
LV02;PARTY;7.13;OFFICIAL;2024-07-16 12:32
LV03;COALITION;22.07;OFFICIAL;2024-07-16 12:32
LV05;PARTY;9.36;OFFICIAL;2024-07-16 12:32
LV06;PARTY;2.28;OFFICIAL;2024-07-16 12:32
LV07;PARTY;8.18;OFFICIAL;2024-07-16 12:32
LV08;PARTY;1.5;OFFICIAL;2024-07-16 12:32
LV09;PARTY;7.45;OFFICIAL;2024-07-16 12:32
LV10;PARTY;6.16;OFFICIAL;2024-07-16 12:32
LV11;PARTY;1.98;OFFICIAL;2024-07-16 12:32
LV12;PARTY;2.62;OFFICIAL;2024-07-16 12:32
LV13;PARTY;2.13;OFFICIAL;2024-07-16 12:32
LV14;PARTY;1.72;OFFICIAL;2024-07-16 12:32
LV90;PARTY;2.33;OFFICIAL;2024-07-16 12:32
