PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
SI01;PARTY;30.59;OFFICIAL;2024-07-16 09:44
SI02;PARTY;7.21;OFFICIAL;2024-07-16 09:44
SI03;PARTY;7.76;OFFICIAL;2024-07-16 09:44
SI04;PARTY;7.68;OFFICIAL;2024-07-16 09:44
SI05;PARTY;4.81;OFFICIAL;2024-07-16 09:44
SI06;PARTY;22.11;OFFICIAL;2024-07-16 09:44
SI07;PARTY;10.53;OFFICIAL;2024-07-16 09:44
SI08;PARTY;3.97;OFFICIAL;2024-07-16 09:44
SI09;PARTY;2.22;OFFICIAL;2024-07-16 09:44
SI10;PARTY;1.61;OFFICIAL;2024-07-16 09:44
SI90;PARTY;1.52;OFFICIAL;2024-07-16 09:44
