PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
SK01;PARTY;24.76;OFFICIAL;2024-07-16 12:32
SK02;PARTY;0.48;OFFICIAL;2024-07-16 12:32
SK03;PARTY;4.92;OFFICIAL;2024-07-16 12:32
SK04;COALITION;27.81;OFFICIAL;2024-07-16 12:32
SK05;PARTY;1.9;OFFICIAL;2024-07-16 12:32
SK06;PARTY;7.14;OFFICIAL;2024-07-16 12:32
SK07;PARTY;3.88;OFFICIAL;2024-07-16 12:32
SK08;PARTY;7.18;OFFICIAL;2024-07-16 12:32
SK09;PARTY;12.53;OFFICIAL;2024-07-16 12:32
SK10;PARTY;4.68;OFFICIAL;2024-07-16 12:32
SK11;PARTY;1.98;OFFICIAL;2024-07-16 12:32
SK12;PARTY;0.93;OFFICIAL;2024-07-16 12:32
SK90;PARTY;1.81;OFFICIAL;2024-07-16 12:32
