PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
RO01;COALITION;19;;CONSTITUTIVE;2024-07-16 13:26
RO16;PARTY;8;EPP;CONSTITUTIVE;2024-07-16 13:26
RO15;PARTY;11;SD;CONSTITUTIVE;2024-07-16 13:26
RO03;PARTY;2;EPP;CONSTITUTIVE;2024-07-16 13:26
RO04;COALITION;6;;CONSTITUTIVE;2024-07-16 13:26
RO18;PARTY;5;ECR;CONSTITUTIVE;2024-07-16 13:26
RO17;PARTY;1;ECR;CONSTITUTIVE;2024-07-16 13:26
RO06;PARTY;2;NI;CONSTITUTIVE;2024-07-16 13:26
RO07;COALITION;3;;CONSTITUTIVE;2024-07-16 13:26
RO20;PARTY;1;Renew;CONSTITUTIVE;2024-07-16 13:26
RO19;PARTY;2;Renew;CONSTITUTIVE;2024-07-16 13:26
RO08;PARTY;1;GREENSEFA;CONSTITUTIVE;2024-07-16 13:26
